firstAuthor,IDP_dMRI_Trait,reportedTrait,samplesize,ftp,summaryStatistics,accessionId,efoTraits,genotypingTechnologies,pubmedId,publicationDate,journal,title,SampleDescription
Smith SM,AD_CP_R,IDP dMRI L1 Cerebral peduncle R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004089/GCST90004089_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004089,GCST90004089,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_CST_L,IDP dMRI L1 Corticospinal tract L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004082/GCST90004082_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004082,GCST90004082,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_CST_R,IDP dMRI L1 Corticospinal tract R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004081/GCST90004081_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004081,GCST90004081,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_EC_L,IDP dMRI L1 External capsule L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004108/GCST90004108_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004108,GCST90004108,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_EC_R,IDP dMRI L1 External capsule R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004107/GCST90004107_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004107,GCST90004107,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_Fx,IDP dMRI L1 Fornix,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004080/GCST90004080_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004080,GCST90004080,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_FxST_L,IDP dMRI L1 Fornix cres+Stria terminalis L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004114/GCST90004114_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004114,GCST90004114,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_FxST_R,IDP dMRI L1 Fornix cres+Stria terminalis R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004113/GCST90004113_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004113,GCST90004113,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_gCC,IDP dMRI L1 Genu of corpus callosum,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004077/GCST90004077_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004077,GCST90004077,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_ICP_L,IDP dMRI L1 Inferior cerebellar peduncle L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004086/GCST90004086_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004086,GCST90004086,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_ICP_R,IDP dMRI L1 Inferior cerebellar peduncle R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004085/GCST90004085_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004085,GCST90004085,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_MCP,IDP dMRI L1 Middle cerebellar peduncle,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004075/GCST90004075_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004075,GCST90004075,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_ML_L,IDP dMRI L1 Medial lemniscus L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004084/GCST90004084_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004084,GCST90004084,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_ML_R,IDP dMRI L1 Medial lemniscus R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004083/GCST90004083_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004083,GCST90004083,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_PCR_L,IDP dMRI L1 Posterior corona radiata L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004102/GCST90004102_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004102,GCST90004102,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_PCR_R,IDP dMRI L1 Posterior corona radiata R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004101/GCST90004101_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004101,GCST90004101,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_PCT,IDP dMRI L1 Pontine crossing tract,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004076/GCST90004076_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004076,GCST90004076,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_PLIC_L,IDP dMRI L1 Posterior limb of internal capsule L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004094/GCST90004094_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004094,GCST90004094,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_PLIC_R,IDP dMRI L1 Posterior limb of internal capsule R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004093/GCST90004093_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004093,GCST90004093,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_PTIC_L,IDP dMRI L1 Posterior thalamic radiation L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004104/GCST90004104_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004104,GCST90004104,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_PTIC_R,IDP dMRI L1 Posterior thalamic radiation R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004103/GCST90004103_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004103,GCST90004103,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_RLIC_L,IDP dMRI L1 Retrolenticular part of internal capsule L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004096/GCST90004096_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004096,GCST90004096,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_RLIC_R,IDP dMRI L1 Retrolenticular part of internal capsule R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004095/GCST90004095_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004095,GCST90004095,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_sCC,IDP dMRI L1 Splenium of corpus callosum,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004079/GCST90004079_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004079,GCST90004079,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_SCP_L,IDP dMRI L1 Superior cerebellar peduncle L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004088/GCST90004088_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004088,GCST90004088,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_SCP_R,IDP dMRI L1 Superior cerebellar peduncle R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004087/GCST90004087_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004087,GCST90004087,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_SCR_L,IDP dMRI L1 Superior corona radiata L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004100/GCST90004100_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004100,GCST90004100,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_SCR_R,IDP dMRI L1 Superior corona radiata R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004099/GCST90004099_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004099,GCST90004099,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_SFOF_L,IDP dMRI L1 Superior fronto-occipital fasciculus L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004118/GCST90004118_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004118,GCST90004118,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_SFOF_R,IDP dMRI L1 Superior fronto-occipital fasciculus R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004117/GCST90004117_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004117,GCST90004117,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_SLF_L,IDP dMRI L1 Superior longitudinal fasciculus L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004116/GCST90004116_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004116,GCST90004116,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_SLF_R,IDP dMRI L1 Superior longitudinal fasciculus R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004115/GCST90004115_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004115,GCST90004115,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_SS_L,IDP dMRI L1 Sagittal stratum L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004106/GCST90004106_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004106,GCST90004106,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_SS_R,IDP dMRI L1 Sagittal stratum R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004105/GCST90004105_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004105,GCST90004105,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_Tp_L,IDP dMRI L1 Tapetum L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004122/GCST90004122_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004122,GCST90004122,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_Tp_R,IDP dMRI L1 Tapetum R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004121/GCST90004121_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004121,GCST90004121,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_UF_L,IDP dMRI L1 Uncinate fasciculus L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004120/GCST90004120_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004120,GCST90004120,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_UF_R,IDP dMRI L1 Uncinate fasciculus R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004119/GCST90004119_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004119,GCST90004119,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,FA_ACR_L,IDP dMRI FA Anterior corona radiata L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90003001-GCST90004000/GCST90003900/GCST90003900_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90003001-GCST90004000/GCST90003900,GCST90003900,mean fractional anisotropy measurement,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,FA_ACR_R,IDP dMRI FA Anterior corona radiata R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90003001-GCST90004000/GCST90003899/GCST90003899_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90003001-GCST90004000/GCST90003899,GCST90003899,mean fractional anisotropy measurement,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,FA_ALIC_L,IDP dMRI FA Anterior limb of internal capsule L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90003001-GCST90004000/GCST90003894/GCST90003894_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90003001-GCST90004000/GCST90003894,GCST90003894,mean fractional anisotropy measurement,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,FA_ALIC_R,IDP dMRI FA Anterior limb of internal capsule R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90003001-GCST90004000/GCST90003893/GCST90003893_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90003001-GCST90004000/GCST90003893,GCST90003893,mean fractional anisotropy measurement,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,FA_bCC,IDP dMRI FA Body of corpus callosum,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90003001-GCST90004000/GCST90003880/GCST90003880_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90003001-GCST90004000/GCST90003880,GCST90003880,mean fractional anisotropy measurement,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
